# vi: ts=30 sw=30
i509	Motor 5 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i609	Motor 6 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i709	Motor 7 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i809	Motor 8 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i909	Motor 9 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i1009	Motor 10 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i1109	Motor 11 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i1209	Motor 12 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i1309	Motor 13 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i1409	Motor 14 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i1509	Motor 15 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i1609	Motor 16 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i1709	Motor 17 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i1809	Motor 18 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
